name,address,zip_code,city,state,latitude,longitude,ratings
Ban Thai and Sushi Restaurant,"2519 N McMullen Booth Rd, Ste 505",33761,Clearwater,FL,28.01294838,-82.7082768,4
Banelly Taqueria,901 S Missouri Ave,33756,Clearwater,FL,27.9560812,-82.787425,4
Basimo Beach Cafe,"1261 Gulf Blvd, Ste 120",33767,Clearwater,FL,27.95199567,-82.829717,4
Beau & Mo's Italian Eating House,2924 5th Ave N,33713,Saint Petersburg,FL,27.77702191,-82.67333915,4
Big Frog Custom T-Shirts & More,1874 Gulf to Bay Blvd,33765,Clearwater,FL,27.9610827,-82.7597232,4
Bula Kafe,2500 5th Ave N,33713,Saint Petersburg,FL,27.7771585,-82.6675529,4
Cabanas Coastal Grill,655 S Gulfview Blvd,33767,Clearwater Beach,FL,27.9664356,-82.8257302,4
Cakes by Carolynn A Special Touch,3153 5th Ave N,33713,Saint Petersburg,FL,27.777673,-82.6765854,4
Cappy's Pizzeria,2900 1st Ave N,33713,Saint Petersburg,FL,27.7716082,-82.672773,4
Charlie's Sushi & Japanese Restaurant,1200 Cleveland St,33755,Clearwater,FL,27.9658915,-82.7875025,4
Chick-fil-A,4623 Gulf Blvd,33706,Saint Petersburg,FL,27.72147784,-82.739555,4
Chile Verde Authentic Mexican Food,2801 22nd Ave N,33713,Saint Petersburg,FL,27.7923333,-82.6717507,4
China 88,"1969 Sunset Point Rd, Ste 4",33765,Clearwater,FL,27.98958406,-82.7565309,4
Classic Touch Dry Cleaners,"2551 Drew St, Ste 101",33765,Clearwater,FL,27.9670302,-82.73129991,4
ConeHeads Ice Cream,421 Gulfview Blvd,33767,Clearwater Beach,FL,27.9702649,-82.8290109,4
Copper Mug Liquors,1463 S Belcher Rd,33764,Clearwater,FL,27.94342244,-82.74545239,4
Crispy Cajun,2097 Drew St,33765,Clearwater,FL,27.9676007,-82.7508542,4
Datz - St. Pete,180 Central Ave,33701,Saint Petersburg,FL,27.77105485,-82.63521524,4
Doe Doe's Diner,9395 Bay Pines Blvd,33708,Saint Petersburg,FL,27.8142345,-82.7691387,4
Dollar Tree,"2683 Gulf To Bay Blvd, Ste 102",33759,Clearwater,FL,27.95938526,-82.72664078,4
El Huarache Azteca,22097 US Hwy 19 N,33765,Clearwater,FL,27.97271214,-82.72871044,4
El Huarache Azteca Restaurant,2908 Roosevelt Blvd,33760,Clearwater,FL,27.91686,-82.717372,4
Frenchy’s To Go,26145 US Hwy 19 N,33763,Clearwater,FL,28.0099,-82.73085,4
Frenchy's Off the Hook,49 Baymont St,33767,Clearwater Beach,FL,27.9819488,-82.8262142,4
Frenchy's Original Cafe,41 Baymont St,33767,Clearwater Beach,FL,27.98204,-82.826436,4
Frenchy's Saltwater Cafe,419 Poinsettia Ave,33767,Clearwater Beach,FL,27.978968,-82.826326,4
Fresh Kitchen,"4447 4th St N, Ste 2",33703,Saint Petersburg,FL,27.8126031,-82.6382577,4
Get Faded,2862 Gulf To Bay Blvd,33759,Clearwater,FL,27.96097431,-82.71916661,4
Goodyear Auto Service,4115 E Bay Dr,33764,Clearwater,FL,27.91599399,-82.74470381,4
Gordon Food Service,1661 Gulf To Bay Blvd,33755,Clearwater,FL,27.9605122,-82.7684277,4
Granadino's Italian Restaurant,1840 Drew St,33765,Clearwater,FL,27.9683523,-82.7611783,4
Gratzzi Italian Grille,211 2nd St S,33701,Saint Petersburg,FL,27.7691918,-82.635785,4
Green Mint Asian Grill,25821 US Hwy 19 N,33763,Clearwater,FL,28.006952,-82.72804,4
Hilton St. Petersburg Carillon Park,950 Lake Carillon Dr,33716,Saint Petersburg,FL,27.8904141,-82.6658049,4
Hogan's Beach Shop,"483 Mandalay Ave, Ste 108",33767,Clearwater,FL,27.98148,-82.826765,4
Ice & Cream Creamery,455 S Gulfview Blvd,33767,Clearwater,FL,27.969582,-82.8292323,4
Ichiban Japanese Restaurant & Sushi Bar,2050 16th St N,33704,Saint Petersburg,FL,27.790962,-82.6553597,4
Independent Bar,1049 Central Ave,33705,Saint Petersburg,FL,27.7713258,-82.6494652,4
Indian Bistro,2779 Gulf To Bay Blvd,33759,Clearwater,FL,27.960264,-82.721451,4
Italia Mia,1165 62nd Ave N,33702,Saint Petersburg,FL,27.829617,-82.650277,4
John's Fresh Produce Market,1496 S Belcher Rd,33764,Clearwater,FL,27.9425426,-82.7464087,4
Karma Juice Bar & Eatery - Saint Petersburg,1113 Central Ave,33705,Saint Petersburg,FL,27.771358,-82.6504963,4
Kiev Euro Deli,29821 US Hwy 19N,33761,Clearwater,FL,28.0431915,-82.7378133,4
King's Pizza,325 Coronado Dr,33767,Clearwater,FL,27.9725647,-82.82832336,4
Krepelicious Food Truck,,33764,clearwater,FL,27.9385015,-82.7401087,4
Little India,25000 US Hwy 19 N,33761,Clearwater,FL,27.999376,-82.73012,4
Marina Cantina,25 Causeway Blvd,33767,Clearwater Beach,FL,27.976757,-82.826572,4
Mellow Mushroom - Clearwater,2630 Gulf To Bay Blvd,33759,Clearwater,FL,27.96115731,-82.7285153,4
Model Citizen Hobbies,"5208 66th St N, Ste D",33709,Saint Petersburg,FL,27.8193185,-82.7289279,4
Monkey Bar of Clearwater,1681 Gulf To Bay Blvd,33755,Clearwater,FL,27.9607324,-82.7692863,4
Mori Sushi,1136 94th Ave N,33702,Saint Petersburg,FL,27.8568449,-82.6495937,4
Munch's Sundries & Restaurant,3920 6th St S,33705,Saint Petersburg,FL,27.732997,-82.6405157,4
New China,928 58th St N,33710,Saint Petersburg,FL,27.782096,-82.7138107,4
O'Keefe's Tavern,1219 S Fort Harrison Ave,33756,Clearwater,FL,27.952873,-82.7997141,4
